name,trip_count,route_count,geometry
Banashankari 1st Stage Muneshwara Block KEB,86,12,POINT (77.55079 12.94211)
Banashankari 3rd Stage 3rd Phase,25,3,POINT (77.55125 12.92761)
Banashankari 5th Stage,1,1,POINT (77.52809 12.9022)
Banashankari Bus Station,2574,198,POINT (77.57403 12.91765)
Banashankari Hunasemara,327,40,POINT (77.57413 12.91966)
Banashankari Post Office,85,5,POINT (77.56995 12.92623)
Banaswadi Fire Station,12,2,POINT (77.64604 13.01131)
Banawadi,1,1,POINT (77.25544 13.11756)
Bandaiahanapalya,14,9,POINT (77.45281 13.17629)
Bandapura,6,3,POINT (77.72655 12.76981)
Bandapura Gate,570,88,POINT (77.74453 13.04174)
Bande Bommasandra,13,4,POINT (77.68072 13.07664)
Bande Bommasandra Cross,24,10,POINT (77.68243 13.08121)
Bande Inorpalya,10,2,POINT (77.36241 12.9366)
Bande Kodigehalli,9,4,POINT (77.69082 13.17216)
Bande Kodigehalli palya,5,2,POINT (77.7063 13.1735)
Bande Kodigehallipalya Cross,81,26,POINT (77.69107 13.17283)
Bande Maramma Bus Station,23,7,POINT (77.51591 12.96712)
Bande Mutt Badavane Radiant Enclave,12,2,POINT (77.47358 12.91277)
Bande Mutt Gate Kengeri,221,17,POINT (77.47743 12.91916)
Bande Mutt Kunchugal,1,1,POINT (77.25913 13.10656)
Bande kodigehalli,19,6,POINT (77.69075 13.17202)
Bandi Reddy Circle,4,3,POINT (77.56389 12.99141)
Bangarappa Nagara,22,7,POINT (77.52658 12.92503)
Banglow Sulikere,147,9,POINT (77.45186 12.93298)
Banjara Layout,6,3,POINT (77.66516 13.03832)
Banjarapalya,18,6,POINT (77.4857 12.83053)
Bank Amruthahalli,92,24,POINT (77.59824 13.06604)
Bank Circle Bashettyhalli,229,20,POINT (77.55271 13.258)
Bank Colony,550,35,POINT (77.55305 12.93864)
Bannerughatta Circle,482,76,POINT (77.58123 12.81386)
Bannerughatta National Park,141,10,POINT (77.57787 12.80079)
Bannigiri,5,2,POINT (77.43642 12.75686)
Bannigiri Cross,7,3,POINT (77.43327 12.74724)
Bannikuppe,9,4,POINT (77.38389 12.84702)
Bannimangala,1,1,POINT (77.58847 13.26019)
Bapuji Layout Saraswathi Nagara,3,1,POINT (77.52938 12.97203)
Bapujinagara,497,78,POINT (77.54182 12.95321)
Baradi,1,1,POINT (77.36671 13.17627)
Baraguru,4,1,POINT (77.88386 12.95115)
Basammanahalli,6,2,POINT (77.35305 12.87519)
Basammanahalli Cross,24,8,POINT (77.35435 12.87484)
Basappa Circle,782,132,POINT (77.57721 12.95624)
Basappa Layout Mattahalli,23,11,POINT (77.45369 13.10656)
Basappanapalya,5,3,POINT (77.50046 12.83133)
Basappanapalya Cross,37,8,POINT (77.50237 12.84253)
Basapura Electronic City,1,1,POINT (77.65023 12.86416)
