name,trip_count,route_count,id,geometry
Meda Maranahalli,27,1,6dx,POINT (77.45186 12.70146)
Medahalli,270,28,19i,POINT (77.72036 13.02597)
Medahalli,295,64,2cm,POINT (77.72054 13.02647)
Medahalli,5,4,3ii,POINT (77.84543 12.96824)
Medahalli,6,2,4xk,POINT (77.72082 13.02616)
Medahalli Colony,8,6,200,POINT (77.85228 12.96723)
Medahalli Colony,1,1,49h,POINT (77.85235 12.96719)
Medahalli Cross,12,9,62h,POINT (77.84352 12.96541)
Medahalli Cross,20,13,6a4,POINT (77.84349 12.96545)
Medanahalli,27,1,1sg,POINT (77.39851 12.78919)
Medanahalli,8,4,42b,POINT (77.39841 12.78912)
Medarahalli Railway Gate,2,1,384,POINT (77.51589 13.06735)
Medarahalli Railway Gate,6,3,3jn,POINT (77.51585 13.06727)
Medi Agrahara,10,2,tg,POINT (77.52523 13.0984)
Medi Agrahara Cross,5,1,4l9,POINT (77.53046 13.1014)
Medi Agrahara Cross,60,14,4ty,POINT (77.53063 13.1013)
Medi Agrahara Cross,19,11,5mj,POINT (77.53071 13.1013)
Medi Mallasandra,20,11,39o,POINT (77.83036 12.95283)
Medi Mallasandra,29,6,4xn,POINT (77.8302 12.95289)
Medicine Factory,2,1,g7,POINT (77.81268 13.10221)
Medur Gate,5,1,1y7,POINT (77.92299 13.19371)
Meenakshi Layout,35,4,34j,POINT (77.49275 13.06552)
Meenakshi Layout,11,3,364,POINT (77.49276 13.06555)
Meenakshi Temple,144,28,5wg,POINT (77.59469 12.87463)
Meenakshi Temple,442,57,c5,POINT (77.5949 12.87467)
Meenakunte,27,4,5fj,POINT (77.64208 13.18059)
Meenakunte,45,8,p1,POINT (77.6421 13.18063)
Meenakunte Hosuru,217,34,1l6,POINT (77.64142 13.18452)
Meenakunte Hosuru,136,23,652,POINT (77.64161 13.1844)
Meesagaanahalli,4,2,5gy,POINT (77.66889 13.1662)
Meesaganahalli,6,3,4fx,POINT (77.66896 13.16614)
Mekhri Circle,172,15,1wu,POINT (77.58263 13.01451)
Mekhri Circle,1184,145,1zm,POINT (77.58388 13.01749)
Mekhri Circle,99,3,2d3,POINT (77.58411 13.0135)
Mekhri Circle,837,88,5e1,POINT (77.584 13.01756)
Mekhri Circle,195,20,5ts,POINT (77.58502 13.01458)
Menashiganahalli,6,1,4da,POINT (77.70187 12.66408)
Mestripalya,4,1,1ry,POINT (77.61948 13.06055)
Mestripalya,28,5,32k,POINT (77.62043 13.06146)
Mestripalya,1,1,3x0,POINT (77.6195 13.06056)
Metipalya,79,8,52s,POINT (77.40232 12.99359)
Metipalya,29,7,5qy,POINT (77.40231 12.99349)
Metro,270,40,1df,POINT (77.56718 12.89312)
Metro,389,72,3q,POINT (77.56772 12.89336)
Metro Tech Aprtment,1,1,3jf,POINT (77.52716 12.87211)
Metrocorp Nirvana Layout,7,3,26m,POINT (77.63487 13.21355)
